time_ms , theta_ankle , theta_ankle_sp , force_loadcell , force_sp , motor_current
377727.0 , 0.1273 , 0.0 , -0.403 , -1.221 , -0.0
377737.0 , 0.1382 , 0.0 , -0.401 , -1.221 , -0.0
377747.0 , 0.129 , 0.0 , -0.401 , -1.221 , -0.0
377757.0 , 0.1246 , 0.0 , -0.4 , -1.221 , -0.0
377767.0 , 0.1359 , 0.0 , -0.399 , -1.221 , -0.0
377777.0 , 0.1331 , 0.0 , -0.4 , -1.221 , -0.0
377787.0 , 0.1297 , 0.0 , -0.4 , -1.221 , -0.0
377797.0 , 0.1333 , 0.0 , -0.4 , -1.221 , -0.0
377807.0 , 0.1336 , 0.0 , -0.398 , -1.221 , -0.0
377817.0 , 0.1285 , 0.0 , -0.395 , -1.221 , -0.0
377827.0 , 0.1286 , 0.0 , -0.398 , -1.221 , -0.0
377837.0 , 0.1259 , 0.0 , -0.406 , -1.221 , -0.0
377847.0 , 0.1289 , 0.0 , -0.406 , -1.221 , -0.0
377857.0 , 0.1295 , 0.0 , -0.413 , -1.221 , -0.0
377867.0 , 0.1248 , 0.0 , -0.417 , -1.221 , -0.0
377877.0 , 0.127 , 0.0 , -0.416 , -1.221 , -0.0
377887.0 , 0.1266 , 0.0 , -0.412 , -1.221 , -0.0
377897.0 , 0.1324 , 0.0 , -0.412 , -1.221 , -0.0
377907.0 , 0.1304 , 0.0 , -0.41 , -1.221 , -0.0
377917.0 , 0.126 , 0.0 , -0.412 , -1.221 , -0.0
377927.0 , 0.1226 , 0.0 , -0.417 , -1.221 , -0.0
377937.0 , 0.1305 , 0.0 , -0.421 , -1.221 , -0.0
377947.0 , 0.1299 , 0.0 , -0.42 , -1.221 , -0.0
377957.0 , 0.1344 , 0.0 , -0.42 , -1.221 , -0.0
377967.0 , 0.1375 , 0.0 , -0.417 , -1.221 , -0.0
377977.0 , 0.1286 , 0.0 , -0.414 , -1.221 , -0.0
377987.0 , 0.1265 , 0.0 , -0.411 , -1.221 , -0.0
377997.0 , 0.1306 , 0.0 , -0.412 , -1.221 , -0.0
378007.0 , 0.1313 , 0.0 , -0.413 , -1.221 , -0.0
378017.0 , 0.1323 , 0.0 , -0.413 , -1.221 , -0.0
378027.0 , 0.1251 , 0.0 , -0.416 , -1.221 , -0.0
378037.0 , 0.1398 , 0.0 , -0.418 , -1.221 , -0.0
378047.0 , 0.1352 , 0.0 , -0.418 , -1.221 , -0.0
378057.0 , 0.1313 , 0.0 , -0.419 , -1.221 , -0.0
378067.0 , 0.1315 , 0.0 , -0.419 , -1.221 , -0.0
378077.0 , 0.1307 , 0.0 , -0.417 , -1.221 , -0.0
378087.0 , 0.1302 , 0.0 , -0.417 , -1.221 , -0.0
378097.0 , 0.1368 , 0.0 , -0.417 , -1.221 , -0.0
378107.0 , 0.1278 , 0.0 , -0.417 , -1.221 , -0.0
378117.0 , 0.1321 , 0.0 , -0.419 , -1.221 , -0.0
378127.0 , 0.1299 , 0.0 , -0.419 , -1.221 , -0.0
378137.0 , 0.1309 , 0.0 , -0.417 , -1.221 , -0.0
378147.0 , 0.1339 , 0.0 , -0.414 , -1.221 , -0.0
378157.0 , 0.129 , 0.0 , -0.411 , -1.221 , -0.0
378167.0 , 0.1314 , 0.0 , -0.41 , -1.221 , -0.0
378177.0 , 0.128 , 0.0 , -0.411 , -1.221 , -0.0
378187.0 , 0.1304 , 0.0 , -0.411 , -1.221 , -0.0
378197.0 , 0.1273 , 0.0 , -0.413 , -1.221 , -0.0
378207.0 , 0.1308 , 0.0 , -0.415 , -1.221 , -0.0
378217.0 , 0.1303 , 0.0 , -0.415 , -1.221 , -0.0
378227.0 , 0.131 , 0.0 , -0.414 , -1.221 , -0.0
378237.0 , 0.1323 , 0.0 , -0.414 , -1.221 , -0.0
378247.0 , 0.1314 , 0.0 , -0.414 , -1.221 , -0.0
378257.0 , 0.1286 , 0.0 , -0.415 , -1.221 , -0.0
378267.0 , 0.1246 , 0.0 , -0.416 , -1.221 , -0.0
378277.0 , 0.1234 , 0.0 , -0.418 , -1.221 , -0.0
378287.0 , 0.1223 , 0.0 , -0.419 , -1.221 , -0.0
378297.0 , 0.1293 , 0.0 , -0.419 , -1.221 , -0.0
378307.0 , 0.1332 , 0.0 , -0.419 , -1.221 , -0.0
378317.0 , 0.1239 , 0.0 , -0.419 , -1.221 , -0.0
378327.0 , 0.1293 , 0.0 , -0.42 , -1.221 , -0.0
378337.0 , 0.1238 , 0.0 , -0.422 , -1.221 , -0.0
378347.0 , 0.1247 , 0.0 , -0.423 , -1.221 , -0.0
378357.0 , 0.1301 , 0.0 , -0.423 , -1.221 , -0.0
378367.0 , 0.1288 , 0.0 , -0.426 , -1.221 , -0.0
378377.0 , 0.1281 , 0.0 , -0.428 , -1.221 , -0.0
378387.0 , 0.1332 , 0.0 , -0.429 , -1.221 , -0.0
378397.0 , 0.1318 , 0.0 , -0.43 , -1.221 , -0.0
378407.0 , 0.1356 , 0.0 , -0.43 , -1.221 , -0.0
378417.0 , 0.1302 , 0.0 , -0.431 , -1.221 , -0.0
378427.0 , 0.1259 , 0.0 , -0.432 , -1.221 , -0.0
378437.0 , 0.1308 , 0.0 , -0.432 , -1.221 , -0.0
378447.0 , 0.1317 , 0.0 , -0.434 , -1.221 , -0.0
378457.0 , 0.1292 , 0.0 , -0.437 , -1.221 , -0.0
378467.0 , 0.1265 , 0.0 , -0.437 , -1.221 , -0.0
378477.0 , 0.1331 , 0.0 , -0.438 , -1.221 , -0.0
378487.0 , 0.129 , 0.0 , -0.439 , -1.221 , -0.0
378497.0 , 0.1314 , 0.0 , -0.439 , -1.221 , -0.0
378507.0 , 0.1357 , 0.0 , -0.44 , -1.221 , -0.0
378517.0 , 0.1306 , 0.0 , -0.44 , -1.221 , -0.0
378527.0 , 0.1279 , 0.0 , -0.44 , -1.221 , -0.0
378537.0 , 0.1262 , 0.0 , -0.441 , -1.221 , -0.0
378547.0 , 0.1268 , 0.0 , -0.443 , -1.221 , -0.0
378557.0 , 0.1262 , 0.0 , -0.447 , -1.221 , -0.0
378567.0 , 0.1304 , 0.0 , -0.449 , -1.221 , -0.0
378577.0 , 0.1334 , 0.0 , -0.449 , -1.221 , -0.0
378587.0 , 0.1243 , 0.0 , -0.451 , -1.221 , -0.0
378597.0 , 0.1288 , 0.0 , -0.452 , -1.221 , -0.0
378607.0 , 0.1302 , 0.0 , -0.453 , -1.221 , -0.0
378617.0 , 0.1298 , 0.0 , -0.454 , -1.221 , -0.0
378627.0 , 0.1279 , 0.0 , -0.455 , -1.221 , -0.0
378637.0 , 0.1302 , 0.0 , -0.455 , -1.221 , -0.0
378647.0 , 0.1259 , 0.0 , -0.455 , -1.221 , -0.0
378657.0 , 0.1278 , 0.0 , -0.456 , -1.221 , -0.0
378667.0 , 0.1323 , 0.0 , -0.456 , -1.221 , -0.0
378677.0 , 0.1269 , 0.0 , -0.456 , -1.221 , -0.0
378687.0 , 0.125 , 0.0 , -0.455 , -1.221 , -0.0
378697.0 , 0.1333 , 0.0 , -0.455 , -1.221 , -0.0
378707.0 , 0.1274 , 0.0 , -0.455 , -1.221 , -0.0
378717.0 , 0.1364 , 0.0 , -0.454 , -1.221 , -0.0
378727.0 , 0.1316 , 0.0 , -0.455 , -1.221 , -0.0
378737.0 , 0.1304 , 0.0 , -0.457 , -1.221 , -0.0
378747.0 , 0.1305 , 0.0 , -0.457 , -1.221 , -0.0
378757.0 , 0.1299 , 0.0 , -0.457 , -1.221 , -0.0
378767.0 , 0.1258 , 0.0 , -0.459 , -1.221 , -0.0
378777.0 , 0.1289 , 0.0 , -0.46 , -1.221 , -0.0
378787.0 , 0.1237 , 0.0 , -0.462 , -1.221 , -0.0
378797.0 , 0.1251 , 0.0 , -0.463 , -1.221 , -0.0
378807.0 , 0.1254 , 0.0 , -0.463 , -1.221 , -0.0
378817.0 , 0.1333 , 0.0 , -0.462 , -1.221 , -0.0
378827.0 , 0.1345 , 0.0 , -0.464 , -1.221 , -0.0
378837.0 , 0.1299 , 0.0 , -0.465 , -1.221 , -0.0
378847.0 , 0.1317 , 0.0 , -0.467 , -1.221 , -0.0
378857.0 , 0.1266 , 0.0 , -0.469 , -1.221 , -0.0
378867.0 , 0.1277 , 0.0 , -0.469 , -1.221 , -0.0
378877.0 , 0.1296 , 0.0 , -0.468 , -1.221 , -0.0
378887.0 , 0.1255 , 0.0 , -0.466 , -1.221 , -0.0
378897.0 , 0.1253 , 0.0 , -0.462 , -1.221 , -0.0
378907.0 , 0.1278 , 0.0 , -0.458 , -1.221 , -0.0
378917.0 , 0.1269 , 0.0 , -0.457 , -1.221 , -0.0
378927.0 , 0.1338 , 0.0 , -0.457 , -1.221 , -0.0
378937.0 , 0.1254 , 0.0 , -0.457 , -1.221 , -0.0
378947.0 , 0.1299 , 0.0 , -0.46 , -1.221 , -0.0
378957.0 , 0.1346 , 0.0 , -0.463 , -1.221 , -0.0
378967.0 , 0.1301 , 0.0 , -0.464 , -1.221 , -0.0
378977.0 , 0.1276 , 0.0 , -0.464 , -1.221 , -0.0
378987.0 , 0.1327 , 0.0 , -0.464 , -1.221 , -0.0
378997.0 , 0.1341 , 0.0 , -0.462 , -1.221 , -0.0
379007.0 , 0.1331 , 0.0 , -0.459 , -1.221 , -0.0
379017.0 , 0.1327 , 0.0 , -0.456 , -1.221 , -0.0
379027.0 , 0.1333 , 0.0 , -0.457 , -1.221 , -0.0
379037.0 , 0.1322 , 0.0 , -0.457 , -1.221 , -0.0
379047.0 , 0.1298 , 0.0 , -0.458 , -1.221 , -0.0
379057.0 , 0.1267 , 0.0 , -0.46 , -1.221 , -0.0
379067.0 , 0.1316 , 0.0 , -0.461 , -1.221 , -0.0
379077.0 , 0.1287 , 0.0 , -0.462 , -1.221 , -0.0
379087.0 , 0.1294 , 0.0 , -0.462 , -1.221 , -0.0
379097.0 , 0.1343 , 0.0 , -0.462 , -1.221 , -0.0
379107.0 , 0.1305 , 0.0 , -0.464 , -1.221 , -0.0
379117.0 , 0.129 , 0.0 , -0.463 , -1.221 , -0.0
