time_ms , theta_ankle , theta_ankle_sp , force_loadcell , force_sp , motor_current
65078.0 , -0.0152 , 0.0 , 0.163 , 0.273 , 0.0
65088.0 , -0.0156 , 0.0 , 0.163 , 0.273 , 0.0
65098.0 , -0.011 , 0.0 , 0.165 , 0.273 , 0.0
65108.0 , -0.0184 , 0.0 , 0.165 , 0.273 , 0.0
65118.0 , -0.0195 , 0.0 , 0.163 , 0.273 , 0.0
65128.0 , -0.0173 , 0.0 , 0.162 , 0.273 , 0.0
65138.0 , -0.0212 , 0.0 , 0.162 , 0.273 , 0.0
65148.0 , -0.0157 , 0.0 , 0.16 , 0.273 , 0.0
65158.0 , -0.0129 , 0.0 , 0.157 , 0.273 , 0.0
65168.0 , -0.0147 , 0.0 , 0.155 , 0.273 , 0.0
65178.0 , -0.0197 , 0.0 , 0.15 , 0.273 , 0.0
65188.0 , -0.0198 , 0.0 , 0.148 , 0.273 , 0.0
65198.0 , -0.019 , 0.0 , 0.148 , 0.273 , 0.0
65208.0 , -0.0214 , 0.0 , 0.144 , 0.273 , 0.0
65218.0 , -0.0153 , 0.0 , 0.141 , 0.273 , 0.0
65228.0 , -0.0205 , 0.0 , 0.14 , 0.273 , 0.0
65238.0 , -0.0175 , 0.0 , 0.139 , 0.273 , 0.0
65248.0 , -0.0189 , 0.0 , 0.14 , 0.273 , 0.0
65258.0 , -0.0167 , 0.0 , 0.14 , 0.273 , 0.0
65268.0 , -0.0241 , 0.0 , 0.142 , 0.273 , 0.0
65278.0 , -0.018 , 0.0 , 0.143 , 0.273 , 0.0
65288.0 , -0.0186 , 0.0 , 0.147 , 0.273 , 0.0
65298.0 , -0.0177 , 0.0 , 0.151 , 0.273 , 0.0
65308.0 , -0.0236 , 0.0 , 0.151 , 0.273 , 0.0
65318.0 , -0.0134 , 0.0 , 0.154 , 0.273 , 0.0
65328.0 , -0.0212 , 0.0 , 0.158 , 0.273 , 0.0
65338.0 , -0.0171 , 0.0 , 0.163 , 0.273 , 0.0
65348.0 , -0.0187 , 0.0 , 0.167 , 0.273 , 0.0
65358.0 , -0.0167 , 0.0 , 0.172 , 0.273 , 0.0
65368.0 , -0.0221 , 0.0 , 0.172 , 0.273 , 0.0
65378.0 , -0.0228 , 0.0 , 0.176 , 0.273 , 0.0
65388.0 , -0.0163 , 0.0 , 0.181 , 0.273 , 0.0
65398.0 , -0.0192 , 0.0 , 0.185 , 0.273 , 0.0
65408.0 , -0.0191 , 0.0 , 0.19 , 0.273 , 0.0
65418.0 , -0.0183 , 0.0 , 0.195 , 0.273 , 0.0
65428.0 , -0.0147 , 0.0 , 0.195 , 0.273 , 0.0
65438.0 , -0.0229 , 0.0 , 0.198 , 0.273 , 0.0
65448.0 , -0.0203 , 0.0 , 0.198 , 0.273 , 0.0
65458.0 , -0.0198 , 0.0 , 0.197 , 0.273 , 0.0
65468.0 , -0.0192 , 0.0 , 0.198 , 0.273 , 0.0
65478.0 , -0.0129 , 0.0 , 0.198 , 0.273 , 0.0
65488.0 , -0.0172 , 0.0 , 0.196 , 0.273 , 0.0
65498.0 , -0.0253 , 0.0 , 0.193 , 0.273 , 0.0
65508.0 , -0.0202 , 0.0 , 0.189 , 0.273 , 0.0
65518.0 , -0.017 , 0.0 , 0.185 , 0.273 , 0.0
65528.0 , -0.0181 , 0.0 , 0.181 , 0.273 , 0.0
65538.0 , -0.0221 , 0.0 , 0.181 , 0.273 , 0.0
65548.0 , -0.0186 , 0.0 , 0.174 , 0.273 , 0.0
65558.0 , -0.0227 , 0.0 , 0.167 , 0.273 , 0.0
65568.0 , -0.0201 , 0.0 , 0.16 , 0.273 , 0.0
65578.0 , -0.0189 , 0.0 , 0.15 , 0.273 , 0.0
65588.0 , -0.0236 , 0.0 , 0.141 , 0.273 , 0.0
65598.0 , -0.0193 , 0.0 , 0.141 , 0.273 , 0.0
65608.0 , -0.0206 , 0.0 , 0.133 , 0.273 , 0.0
65618.0 , -0.0227 , 0.0 , 0.124 , 0.273 , 0.0
65628.0 , -0.0212 , 0.0 , 0.116 , 0.273 , 0.0
65638.0 , -0.0207 , 0.0 , 0.107 , 0.273 , 0.0
65648.0 , -0.0186 , 0.0 , 0.107 , 0.273 , 0.0
65658.0 , -0.0197 , 0.0 , 0.097 , 0.273 , 0.0
65668.0 , -0.017 , 0.0 , 0.088 , 0.273 , 0.0
65678.0 , -0.0157 , 0.0 , 0.078 , 0.273 , 0.0
65688.0 , -0.0211 , 0.0 , 0.069 , 0.273 , 0.0
65698.0 , -0.019 , 0.0 , 0.059 , 0.273 , 0.0
65708.0 , -0.0224 , 0.0 , 0.059 , 0.273 , 0.0
65718.0 , -0.0211 , 0.0 , 0.049 , 0.273 , 0.0
65728.0 , -0.0233 , 0.0 , 0.041 , 0.273 , 0.0
65738.0 , -0.0215 , 0.0 , 0.034 , 0.273 , 0.0
65748.0 , -0.0181 , 0.0 , 0.029 , 0.273 , 0.0
65758.0 , -0.0205 , 0.0 , 0.021 , 0.273 , 0.0
65768.0 , -0.0176 , 0.0 , 0.021 , 0.273 , 0.0
65778.0 , -0.0197 , 0.0 , 0.012 , 0.273 , 0.0
65788.0 , -0.0179 , 0.0 , 0.004 , 0.273 , 0.0
65798.0 , -0.0247 , 0.0 , -0.005 , 0.273 , 0.0
65808.0 , -0.0219 , 0.0 , -0.012 , 0.273 , 0.0
65818.0 , -0.0224 , 0.0 , -0.021 , 0.273 , 0.0
65828.0 , -0.0243 , 0.0 , -0.021 , 0.273 , 0.0
65838.0 , -0.0143 , 0.0 , -0.03 , 0.273 , 0.0
65848.0 , -0.0191 , 0.0 , -0.036 , 0.273 , 0.0
65858.0 , -0.0196 , 0.0 , -0.04 , 0.273 , 0.0
65868.0 , -0.0224 , 0.0 , -0.042 , 0.273 , 0.0
65878.0 , -0.0195 , 0.0 , -0.042 , 0.273 , 0.0
65888.0 , -0.0171 , 0.0 , -0.047 , 0.273 , 0.0
65898.0 , -0.0223 , 0.0 , -0.054 , 0.273 , 0.0
65908.0 , -0.0245 , 0.0 , -0.059 , 0.273 , 0.0
65918.0 , -0.0196 , 0.0 , -0.063 , 0.273 , 0.0
65928.0 , -0.0222 , 0.0 , -0.062 , 0.273 , 0.0
65938.0 , -0.0192 , 0.0 , -0.062 , 0.273 , 0.0
65948.0 , -0.0211 , 0.0 , -0.062 , 0.273 , 0.0
65958.0 , -0.0184 , 0.0 , -0.063 , 0.273 , 0.0
65968.0 , -0.0186 , 0.0 , -0.063 , 0.273 , 0.0
65978.0 , -0.0216 , 0.0 , -0.059 , 0.273 , 0.0
65988.0 , -0.0177 , 0.0 , -0.055 , 0.273 , 0.0
65998.0 , -0.0165 , 0.0 , -0.055 , 0.273 , 0.0
66008.0 , -0.0193 , 0.0 , -0.052 , 0.273 , 0.0
66018.0 , -0.0227 , 0.0 , -0.049 , 0.273 , 0.0
66028.0 , -0.023 , 0.0 , -0.045 , 0.273 , 0.0
66038.0 , -0.0163 , 0.0 , -0.04 , 0.273 , 0.0
66048.0 , -0.0211 , 0.0 , -0.04 , 0.273 , 0.0
66058.0 , -0.0261 , 0.0 , -0.035 , 0.273 , 0.0
66068.0 , -0.0224 , 0.0 , -0.03 , 0.273 , 0.0
66078.0 , -0.0216 , 0.0 , -0.025 , 0.273 , 0.0
66088.0 , -0.0188 , 0.0 , -0.018 , 0.273 , 0.0
66098.0 , -0.0206 , 0.0 , -0.012 , 0.273 , 0.0
66108.0 , -0.0177 , 0.0 , -0.012 , 0.273 , 0.0
66118.0 , -0.0128 , 0.0 , -0.005 , 0.273 , 0.0
66128.0 , -0.0213 , 0.0 , -0.0 , 0.273 , 0.0
66138.0 , -0.0224 , 0.0 , 0.006 , 0.273 , 0.0
66148.0 , -0.024 , 0.0 , 0.014 , 0.273 , 0.0
66158.0 , -0.0204 , 0.0 , 0.019 , 0.273 , 0.0
66168.0 , -0.0168 , 0.0 , 0.019 , 0.273 , 0.0
66178.0 , -0.0211 , 0.0 , 0.023 , 0.273 , 0.0
66188.0 , -0.0171 , 0.0 , 0.028 , 0.273 , 0.0
66198.0 , -0.0207 , 0.0 , 0.03 , 0.273 , 0.0
66208.0 , -0.0231 , 0.0 , 0.032 , 0.273 , 0.0
66218.0 , -0.023 , 0.0 , 0.032 , 0.273 , 0.0
66228.0 , -0.02 , 0.0 , 0.031 , 0.273 , 0.0
66238.0 , -0.0175 , 0.0 , 0.03 , 0.273 , 0.0
66248.0 , -0.0234 , 0.0 , 0.028 , 0.273 , 0.0
66258.0 , -0.0203 , 0.0 , 0.025 , 0.273 , 0.0
66268.0 , -0.0209 , 0.0 , 0.023 , 0.273 , 0.0
66278.0 , -0.0217 , 0.0 , 0.023 , 0.273 , 0.0
66288.0 , -0.0173 , 0.0 , 0.022 , 0.273 , 0.0
66298.0 , -0.0198 , 0.0 , 0.021 , 0.273 , 0.0
66308.0 , -0.0194 , 0.0 , 0.021 , 0.273 , 0.0
66318.0 , -0.0164 , 0.0 , 0.02 , 0.273 , 0.0
66328.0 , -0.0224 , 0.0 , 0.021 , 0.273 , 0.0
66338.0 , -0.0237 , 0.0 , 0.021 , 0.273 , 0.0
66348.0 , -0.0147 , 0.0 , 0.023 , 0.273 , 0.0
66358.0 , -0.0241 , 0.0 , 0.024 , 0.273 , 0.0
66368.0 , -0.0179 , 0.0 , 0.026 , 0.273 , 0.0
66378.0 , -0.0186 , 0.0 , 0.028 , 0.273 , 0.0
66388.0 , -0.0191 , 0.0 , 0.028 , 0.273 , 0.0
66398.0 , -0.0209 , 0.0 , 0.031 , 0.273 , 0.0
66408.0 , -0.0175 , 0.0 , 0.035 , 0.273 , 0.0
66418.0 , -0.0169 , 0.0 , 0.039 , 0.273 , 0.0
66428.0 , -0.018 , 0.0 , 0.044 , 0.273 , 0.0
66438.0 , -0.0248 , 0.0 , 0.047 , 0.273 , 0.0
66448.0 , -0.0174 , 0.0 , 0.047 , 0.273 , 0.0
66458.0 , -0.0226 , 0.0 , 0.05 , 0.273 , 0.0
66468.0 , -0.0277 , 0.0 , 0.052 , 0.273 , 0.0
66478.0 , -0.0219 , 0.0 , 0.053 , 0.273 , 0.0
66488.0 , -0.0205 , 0.0 , 0.057 , 0.273 , 0.0
66498.0 , -0.0169 , 0.0 , 0.06 , 0.273 , 0.0
66508.0 , -0.0191 , 0.0 , 0.06 , 0.273 , 0.0
66518.0 , -0.0237 , 0.0 , 0.065 , 0.273 , 0.0
66528.0 , -0.0238 , 0.0 , 0.069 , 0.273 , 0.0
66538.0 , -0.0181 , 0.0 , 0.072 , 0.273 , 0.0
66548.0 , -0.0224 , 0.0 , 0.075 , 0.273 , 0.0
66558.0 , -0.0232 , 0.0 , 0.079 , 0.273 , 0.0
66568.0 , -0.0218 , 0.0 , 0.079 , 0.273 , 0.0
66578.0 , -0.0202 , 0.0 , 0.083 , 0.273 , 0.0
66588.0 , -0.019 , 0.0 , 0.087 , 0.273 , 0.0
66598.0 , -0.0186 , 0.0 , 0.091 , 0.273 , 0.0
66608.0 , -0.0206 , 0.0 , 0.097 , 0.273 , 0.0
66618.0 , -0.0172 , 0.0 , 0.097 , 0.273 , 0.0
66628.0 , -0.0243 , 0.0 , 0.1 , 0.273 , 0.0
66638.0 , -0.0134 , 0.0 , 0.105 , 0.273 , 0.0
66648.0 , -0.017 , 0.0 , 0.109 , 0.273 , 0.0
66658.0 , -0.0157 , 0.0 , 0.112 , 0.273 , 0.0
66668.0 , -0.0192 , 0.0 , 0.115 , 0.273 , 0.0
66678.0 , -0.0178 , 0.0 , 0.115 , 0.273 , 0.0
66688.0 , -0.0171 , 0.0 , 0.118 , 0.273 , 0.0
66698.0 , -0.0123 , 0.0 , 0.122 , 0.273 , 0.0
66708.0 , -0.0138 , 0.0 , 0.125 , 0.273 , 0.0
66718.0 , -0.0172 , 0.0 , 0.128 , 0.273 , 0.0
66728.0 , -0.0225 , 0.0 , 0.131 , 0.273 , 0.0
66738.0 , -0.0197 , 0.0 , 0.131 , 0.273 , 0.0
66748.0 , -0.0163 , 0.0 , 0.133 , 0.273 , 0.0
66758.0 , -0.0189 , 0.0 , 0.136 , 0.273 , 0.0
66768.0 , -0.0222 , 0.0 , 0.14 , 0.273 , 0.0
66778.0 , -0.0181 , 0.0 , 0.143 , 0.273 , 0.0
66788.0 , -0.022 , 0.0 , 0.143 , 0.273 , 0.0
66798.0 , -0.0181 , 0.0 , 0.147 , 0.273 , 0.0
66808.0 , -0.0224 , 0.0 , 0.151 , 0.273 , 0.0
66818.0 , -0.0171 , 0.0 , 0.155 , 0.273 , 0.0
66828.0 , -0.0146 , 0.0 , 0.159 , 0.273 , 0.0
66838.0 , -0.021 , 0.0 , 0.163 , 0.273 , 0.0
66848.0 , -0.0164 , 0.0 , 0.163 , 0.273 , 0.0
66858.0 , -0.0145 , 0.0 , 0.167 , 0.273 , 0.0
66868.0 , -0.0218 , 0.0 , 0.171 , 0.273 , 0.0
66878.0 , -0.0221 , 0.0 , 0.176 , 0.273 , 0.0
66888.0 , -0.0179 , 0.0 , 0.183 , 0.273 , 0.0
66898.0 , -0.0218 , 0.0 , 0.188 , 0.273 , 0.0
66908.0 , -0.0212 , 0.0 , 0.188 , 0.273 , 0.0
66918.0 , -0.0183 , 0.0 , 0.194 , 0.273 , 0.0
66928.0 , -0.0194 , 0.0 , 0.198 , 0.273 , 0.0
66938.0 , -0.0213 , 0.0 , 0.202 , 0.273 , 0.0
66948.0 , -0.0148 , 0.0 , 0.209 , 0.273 , 0.0
66958.0 , -0.019 , 0.0 , 0.209 , 0.273 , 0.0
66968.0 , -0.0177 , 0.0 , 0.214 , 0.273 , 0.0
66978.0 , -0.0259 , 0.0 , 0.219 , 0.273 , 0.0
66988.0 , -0.0191 , 0.0 , 0.222 , 0.273 , 0.0
66998.0 , -0.0231 , 0.0 , 0.225 , 0.273 , 0.0
