time_ms , theta_ankle , theta_ankle_sp , force_loadcell , force_sp , motor_current
109787.0 , 0.0526 , 0.0 , 0.587 , -0.577 , -0.0
109797.0 , 0.0568 , 0.0 , 0.587 , -0.577 , -0.0
109807.0 , 0.0513 , 0.0 , 0.584 , -0.577 , -0.0
109817.0 , 0.0552 , 0.0 , 0.575 , -0.577 , -0.0
109827.0 , 0.0525 , 0.0 , 0.568 , -0.577 , -0.0
109837.0 , 0.0597 , 0.0 , 0.571 , -0.577 , -0.0
109847.0 , 0.0596 , 0.0 , 0.571 , -0.577 , -0.0
109857.0 , 0.0547 , 0.0 , 0.574 , -0.577 , -0.0
109867.0 , 0.0539 , 0.0 , 0.571 , -0.577 , -0.0
109877.0 , 0.0556 , 0.0 , 0.569 , -0.577 , -0.0
109887.0 , 0.0541 , 0.0 , 0.569 , -0.577 , -0.0
109897.0 , 0.0571 , 0.0 , 0.571 , -0.577 , -0.0
109907.0 , 0.0555 , 0.0 , 0.571 , -0.577 , -0.0
109917.0 , 0.0546 , 0.0 , 0.572 , -0.577 , -0.0
109927.0 , 0.0558 , 0.0 , 0.572 , -0.577 , -0.0
109937.0 , 0.061 , 0.0 , 0.573 , -0.577 , -0.0
109947.0 , 0.0518 , 0.0 , 0.574 , -0.577 , -0.0
109957.0 , 0.0536 , 0.0 , 0.574 , -0.577 , -0.0
109967.0 , 0.0523 , 0.0 , 0.575 , -0.577 , -0.0
109977.0 , 0.0564 , 0.0 , 0.574 , -0.577 , -0.0
109987.0 , 0.0525 , 0.0 , 0.572 , -0.577 , -0.0
109997.0 , 0.0546 , 0.0 , 0.569 , -0.577 , -0.0
110007.0 , 0.056 , 0.0 , 0.561 , -0.577 , -0.0
110017.0 , 0.0486 , 0.0 , 0.561 , -0.577 , -0.0
110027.0 , 0.052 , 0.0 , 0.55 , -0.577 , -0.0
110037.0 , 0.0531 , 0.0 , 0.543 , -0.577 , -0.0
110047.0 , 0.0533 , 0.0 , 0.536 , -0.577 , -0.0
110057.0 , 0.0559 , 0.0 , 0.529 , -0.577 , -0.0
110067.0 , 0.0555 , 0.0 , 0.52 , -0.577 , -0.0
110077.0 , 0.053 , 0.0 , 0.52 , -0.577 , -0.0
110087.0 , 0.0511 , 0.0 , 0.515 , -0.577 , -0.0
110097.0 , 0.0549 , 0.0 , 0.512 , -0.577 , -0.0
110107.0 , 0.0513 , 0.0 , 0.508 , -0.577 , -0.0
110117.0 , 0.0484 , 0.0 , 0.504 , -0.577 , -0.0
